author_id,author_name
4f7233b5-31ce-44f8-87a7-61ed941e32ab,Urban-Chmiel R.
5a986d16-7ece-420e-8fee-6caeeb8710f7,Epule T.E.
3d632c6f-77d5-4615-b47a-538104160dc9,Bravo G.
92ace86e-afcf-4d6b-a291-8c28747e9aad,Meng X.
6e80483e-ae10-469e-b1f8-7f14879f3756,Zhao L.
1a69bd22-0658-4caf-b11a-0f4f7c66dcf3,Gamper M.
b98bc608-c690-4ccf-958e-91a8a75100c2,Gilliéron G.
e11f59a2-8954-494c-bef1-1780ad27265c,Hakim G.A.
f30ee929-6f31-4957-9675-b940b600c88d,Acosta L.
3cb4abfe-c034-4d15-b33a-20f78831df35,Tessmann R.
cd74f8d1-1244-414d-af69-31ed13b82976,Dwivedi S.K.
7c0d9b8a-f621-465e-92c2-961142b7ff9d,Rifat M.R.
ce4b738b-254a-4489-ac9d-b94fec7a243a,Spadaro G.
bfd7a972-0233-45e9-ad5d-1224c747b86c,Lachgar A.
a76732e2-d297-4d4b-a4f2-c26c93a1bdde,Wang D.
77b20248-5874-473a-8dd2-74af27deabb0,Bilan S.
95b0c886-2338-4751-86a0-8356b3433b3b,Andriamahery A.
6f00cccb-b719-498e-9569-9312c88a3dcd,Leruth M.F.
6de3b64a-8d98-4deb-92b2-acc74a6a98c3,Biggam C.P.
6ebe5137-62d6-4f9e-873b-e299325dd017,Cheung C.K.
4fae6bd3-d2b7-490b-b359-250a7b5570b4,Spikins P.
4845b77f-fd08-48f0-a431-3a28cd13b91d,Satt H.
ad199b94-94f1-4776-8e83-b5cbc7ea1dd1,Mauss V.
a7a2a90d-0f3b-4618-980e-86432ee2c5de,Skirbekk V.
3000416a-585c-4c4e-9624-6f32073e49ee,Ngubane P.
cc91fddd-cfb3-4a5e-894f-a6fbb0bfe40b,Heilbronner O.
488449fc-fc47-47a4-a986-814d4758e29b,Mastari L.
57ce5584-979e-4087-9fde-22a084dd3391,Ezzahi I.
277eb9ba-0a2d-408e-9d5d-870dda455fe8,Duadji N.
5798395f-7b55-4de9-a16d-510c482fc331,Yogev D.
7d486fb9-c85d-4f22-bb37-ed3dbd86f55e,Laouni N.E.
831971c5-c700-45a5-85f1-d941dd777ea0,Hongxing Y.
740e28cf-827e-4367-aa18-151e8a749f96,Guessoum S.B.
12be4bc8-78ba-4bcb-af25-ae54497fe45d,Molteni F.
f63b8f29-7258-4857-ba74-78fb257d7355,Girón A.
686e517d-5f61-4168-8859-83fca90980a2,El-Ouahi J.
08c698ef-2d0e-449f-b4df-705a90aecd58,Ravi K.
32add774-3faa-40bb-b3d4-da0b3b2eb346,Motawy Y.
76ca5b1e-4a0b-4762-a4c5-1034205b4497,Yadav D.
24a24d6c-6c2d-4f58-bb72-fbdabbbb5994,Mensah I.A.
a4738fd8-87b3-4b31-9a21-2bf1eb5c5ba1,Chakrabarti K.
048860da-7f4a-4d76-bfe0-4afc5b6efd50,Bhat M.N.
b89a3191-cacf-45ec-bb7e-1156f36dd27d,Sitzmann T.
a9248cd5-4520-4363-954a-f7dc8780fe60,Driffield N.
edcd85ce-b4a5-40d3-8884-62ca64bf0a37,Ouasri A.
56b31260-697e-4ece-85c8-ba7b30f9562f,Boccagni P.
98f00782-1ea5-48cd-8844-2853d91ef788,Bergenfeld I.
f01d63b4-d6e1-4184-b048-f969460accfc,Mghazli N.
46b315c2-5511-432d-a319-63efc3500ef3,Yeo J.H.
9f48996d-6f98-47fb-8546-34089c87c368,Khan S.
f9b411d1-9a5b-45fa-87a1-3ec732ddfd16,Bengesai A.V.
b481842a-ab86-4e21-970d-2e3cddd1e514,Dionísio L.
853a69c3-b47a-456f-9c11-861a63180c45,Belechheb T.
68073ba8-d609-4255-8482-e7d01eaa71a2,Guleid F.H.
a9390490-9545-4b2b-b02a-d8d27dd98bd0,Belcastro M.G.
ed060cb2-95c5-4942-beec-179715845fbb,Bruton G.
9a45aa87-0bc1-4620-8a26-7bf48a191d28,Bava S.
7bfec5b6-bb91-4794-9a85-20a44fe5c92f,Elkhdari M.
ca2a9446-de91-4606-910b-a08f1fd65bb1,Martínez-Martínez O.A.
6f9c6826-d303-4ad4-94a6-9fbd19fef7a6,Phale K.
e26986a5-645c-48f0-816c-a17d60310eab,Sovacool B.K.
80ec641b-5681-4da8-8ded-38ee11e375af,Hansen H.H.
ebbd85dc-713f-459b-ba22-4b51c9897510,Cai H.
14f2ec6d-0e56-417b-9998-82bcbb5e2483,Fitchett J.M.
5782be34-98e7-4e6b-91f5-0d0af28765a1,Al-Sharekh A.
8194889f-29b1-4f61-8eb0-e6f6749a321c,Newland K.
6d443ddc-015d-4be6-9e1b-6b48a2c1a939,Vasilyeva T.
ab015df0-7f01-4be8-8427-f773782d3675,Cardoso R.d.C.V.
efe0e4dc-494b-43a2-af10-82f19f1b2f32,Huxley F.C.
286f0191-68f2-4251-99b6-4474d0eb2a2f,de Bruyn P.C.
020d46c4-f396-4f37-be5e-b6b0ca95872d,Khan A.M.
2dd306db-bbf0-4da9-baca-30a50c69e9ed,Islam S.
af3a3a06-0cbb-4df0-a79d-51935784f8ca,Garcia V.
1aa1b29e-4db6-4209-884b-c150b230c723,Vavrus F.
9a355bad-2729-440b-a267-8442c6809670,Planel A.M.
ec7e35db-c6cc-4722-95a1-b27859f7a576,Wood B.P.
eae0e5cb-b676-4c1a-96d8-b940269a93c9,Rotimi S.O.
6d8157f9-a04d-4720-ab34-f23a11cb434e,Sousa C.M.P.
af4953ac-7bb8-43a7-bde6-730d59b5b43b,Padmaja M.
78da7398-3600-4f87-ba8e-6e3f304ffa9b,Lee J.
41801977-da6c-4eec-97af-8d497d124942,Ojediran F.O.
e46505f7-6a1d-4632-ad40-10470c5e4b36,Blunch N.H.
aab6b381-8e95-4fd0-986c-3774b6e6ee13,Diop A.K.M.
4b847c3e-791d-4522-89e4-1c8cb4bbf81e,Fajth V.
00893e69-dc3a-4b43-9773-226fd943cfb2,Efstathiadou E.
64b63dd6-4765-4070-8387-40a91fcc807d,Khmous D.F.
83579759-8baa-4a4e-9702-0f3d70f56a38,Shao M.
0926209e-e0a1-4a44-b34f-3c70ab922633,Yasin K.
aa270e09-f65a-4426-bc5a-c1520a89e2ea,Mortimer G.
b8cb6ea3-aa60-4f96-906d-4fcbba1ceea0,Adator E.H.
563d6c22-6157-46d6-904b-61845737dc36,Priyanka S.
add12c4b-8425-41a8-9794-b19872261635,Schewel K.
aad14410-ece8-454d-a333-d2a7688aca52,Milana C.
5127e353-ae74-46fe-a6d8-ce43d3dce513,Anyangwe C.
789844b2-6a94-4474-961f-3230b027f204,El Bilali H.
edaed2eb-ee07-4dca-a5b3-14b58631c49c,Flici F.
f9f4fffb-3f37-456c-9dae-e4283a56c32e,Martin L.
3990aa00-088a-4ab8-bdf1-cb92b8aa7e78,Osman M.
7effcb51-bfcf-4d00-a840-b02d396c790d,Delgado-Algarra E.J.
1d549443-6ff8-4654-a22f-0f2db3fb93c8,Bartal S.
9cf77f76-4978-4d00-ae11-dffc0bf6ab61,Martin S.
f8488874-e00d-49fd-86cf-8cd14fa0a4dd,Connell J.
ca08db0b-8090-43bf-8592-3680660465d4,Charsley K.
e7b4e0b1-76d0-42bf-91a9-3cf794fb7ae5,Yilmaz B.
1d68d5f6-53a1-40f4-b2f1-d33dd873446d,Pruvost V.I.
0630866c-9820-44f4-9f15-17732cc60651,Chafai H.
e7f4417e-b705-422b-9099-20ba5091d2d7,Zhang Y.
f468807b-ffa8-4608-b483-f797ce1b73a6,Piechurska-Kuciel E.
acb31bf0-3185-4039-8274-dbacd02af8b4,Flatt E.J.
3c12c951-6986-46ac-ae68-ca994e2eb1ff,Elie S.D.
bd3949a5-bb49-4980-9b6f-b063e3cdb567,Adams M.
09065102-54e3-4ff8-97b1-23bbd5117d12,Koutsoumanis K.
29f59e6d-de9f-4bbe-8dd9-fbc5e2b338de,Lujala P.
b271e076-8044-4d21-b462-5f086825aa37,Fernández-Bravo A.
44059bbe-2c30-45ad-a03d-937677b8d4e6,Heymann J.
53dd9c82-2d70-414e-b2fc-462a174491e4,Azzaza M.
9ca24585-8d94-4f6e-878f-3f8ca2143d0e,Sunder N.
b0925c7f-8418-452e-b3d5-f3be7b04cbfa,Burger P.A.
af0f85f5-c10c-4795-bce4-09bfef7df727,Álvarez-García J.
b34d92f5-d418-46d0-affa-1b0a9174d648,Tadmouri G.O.
f964177c-8fb7-4ab8-b261-96d65d86b513,Zucconi M.
df869014-1ac9-4264-a478-0dfed0b63287,Rodríguez-Díaz M.
37ad9d1e-1fcc-4ca5-babf-c2233837e071,Voronkova O.
e7d992d1-ec57-4ae7-82fc-7c695b718fb6,Kohno A.
caff42cb-34bd-4dc5-a707-acec0a892178,Arousell J.
56578b1c-971d-4e67-82d4-a40891962a78,Cotter W.M.
9dc57e19-54db-4d25-a8c6-2b29823a8710,Haeri N.
3d82a686-579e-44bb-a8dd-8d5c7cab9d41,Gabrielli G.
cc8ff770-d21b-4aac-9aa9-a3aa41a7ff44,Belhorma S.
7077534a-ceee-4fb3-84d4-c3094ff0a155,Ardalan K.
607f0ba0-f1d9-47de-966e-c9895f8589aa,Chih R.
f8146d1f-c2d2-45ee-ae2e-c39497f2eb82,Guinot D.
0b2aafb4-0998-4665-84f5-6b4d4930aea4,Meng E.
44305512-9779-49e5-bb50-82c0c23cea32,Harkness G.
5455fab5-7c5d-4bd5-aa11-7b79726646fe,Ersanilli E.
1842d35b-daa1-4a9e-819c-e077de6a0fa1,Garfield Z.H.
a90c7e99-4f86-4943-8942-82559d0abe49,Perlman B.J.
c325fd2b-d914-471d-b031-541562e7533a,Granelli F.
7f65d461-5f6e-479f-b843-1c2fb771d9e8,Kuznetsov S.V.
bddd0f37-2d0d-4240-b269-9d9bad9ebbcd,Zain Sulaiman M.
13a186e3-701e-4f1b-aa66-52ce6ac6c031,Gengler J.
8868fdf1-2a90-46f0-8ae0-2be4a42c1025,Cardosi G.
428c9d02-e9fd-4138-a43e-b64d7ec17e23,Wolff H.E.
3b9b6584-f93f-4901-850e-641ac0d6f8cc,Smith A.E.
45982e98-993b-43f8-a982-c69eea3597ea,Lakos A.
1192539a-9a40-4e3e-af1d-ef8148ec6911,Wen H.
74f2bcc9-4f42-4973-82a9-899bc424d86b,Thomas P.W.
5584d7c0-7fee-40b1-b39b-caaedb997ea9,Susanti E.
b2d4566b-af7a-4dcd-b277-8f8f6762ce75,Tessler M.A.
fb6f5f57-8e02-4f74-9781-25772c5a64f2,Khoukhi S.
647b6e25-e1f8-4b79-8ae2-1f92502fe486,Ramsay M.S.
e2ceb55d-5ac7-4657-b371-ea0f098d6b8f,Barbraud C.
17abf20a-e049-4afd-9b1f-b07baa5f9c4c,Accordini M.
afe2b6ea-8126-49a2-81a4-fa2c356c80d3,Choi H.
d46d9225-d0aa-4b60-bb67-d60d20bc5a7f,Boehe D.
d5e3da07-5112-4ddd-a6c1-e77b2ec573bf,Runyan A.S.
539bffce-ff00-4454-8a21-828474f0cee1,Polavieja J.G.
b1fced42-106c-4405-a203-d90c392eab49,Singh R.K.
fc295b18-e532-487e-a587-c8eb43bf2d04,Gallouj C.
499acc49-090c-4f31-bae2-cf7f7ee1faf1,Rojas M.R.
749ee888-960b-4147-a3d4-abae0a9d58be,Sutter M.
cd1723aa-ce10-4098-86e6-dd5c8061fcd5,Van Pottelberge A.
3e701951-a2c5-4636-b4a7-dc2e36fb5a97,McClendon D.
9ec4e018-e347-45c3-aea7-06e9ffadf4b0,Eger C.
00ac2098-e946-41ce-9438-c7c7da698c7c,Bowrin A.R.
0b8de8c0-42c1-4421-927b-aa452292fd67,Akseer N.
708122af-cdce-4d02-a24d-7b066f91e012,Trachuk A.
7d15dc56-a07f-4e1d-8758-3bf727926e76,Corstange D.
9c76c999-40e5-48c4-8188-c0581c4302ac,French D.C.
c128827b-318f-4564-a9c4-092c6c4baad7,Giraldo Herrera C.E.
9c291af3-babe-4785-bcde-767219249260,Aboul-Enein B.
21c80d59-3daf-41f4-991c-14aa851a04dd,Kwon H.
337683ec-9d29-4860-ba05-7d5ccd4f6823,Wainscott A.M.
8dd3d8da-4d81-4d34-b1ca-194f2d24c680,Yount K.M.
d86501dc-1afc-4d2b-930b-2c2ea99f31e2,Wagner L.
22e481f6-509d-4854-b204-0874cbce340d,Al-Atawneh M.
c2f31526-3134-4597-9b53-7d057e4eb732,Cliquet R.
e7a081a1-2c08-43fe-8aa2-958754e0198b,Lal R.
57179664-7ba8-43be-abf0-a12ee59d85ae,Johnson S.
fc3dd1d0-afe2-446f-b807-cd073303d713,Fox J.
e0150e8d-f62e-495d-973c-45192fc2c3c9,Parker S.C.
b42e9ecc-9008-499b-a519-13f914759d80,Ellis L.
23a01ea2-da54-4a0d-a549-a1958f63678b,Botero C.M.
7813c78f-9cdf-457a-b549-c70a7de52e2a,Lynch G.
23842f41-84e7-4bdf-a5ea-7855403a52cf,Seetah K.
e635faa8-612c-4a28-a2a6-9d11f061657b,Jawab F.
48fb1353-1f47-46ba-a99e-e1857e2ff442,Howe J.
64d95dac-cdd3-48bd-b3d8-48f5cc478627,Pepinsky T.B.
54909143-66b5-456f-ad48-4de3132bd0aa,Walonen M.K.
a39b61c4-47e5-40d8-ae06-c047d17a5d28,Horton L.
d236f5a1-7bce-4ec0-ab9d-c2e5e79aba27,El Makrini H.
e847a7de-09cc-4454-bf63-367378ee164c,Samari G.
9d9231ad-611c-435c-afa9-9f415c4bd9b2,Schmidt S.
502df961-e2f9-4fe1-b321-bc7885b768f4,Taggar G.K.
5d2c8388-c8bf-41f3-a168-2bef9201c5af,
e27777f2-e37a-4ab2-a3c1-ca285290c13b,Bochen C.M.
b94c491d-6d6f-4d67-b4f8-57b1ca5391f1,Boyle H.N.
5c7345d4-5248-49ee-ac92-df813cbac021,Wijayawardene N.N.
f50e78b0-34b1-4353-bc3a-e6f8a42a385b,Jackson S.
39aeae1a-f136-4c32-b45e-7815546002c2,García-Quevedo J.
f3447daa-183a-43fe-a1b6-0e9864d4ff69,Patrikar S.
e895fbba-a603-4c2d-8020-60c4ca2b27f7,Mikesell M.W.
120b3149-3fc8-42df-b9a9-ddacc01c5b34,Pomortsev A.A.
8012e0e2-fc62-4687-8cd3-6156f393e51e,Varisco D.M.
022003cc-e36e-4970-97ca-8c95ccc8a75b,Pradhan J.
a7ea611f-fc66-492d-80e4-f8364309c219,Bachmann V.
8e0b51aa-9de8-44a3-95e1-9744f6860a96,Adamczyk A.
b5698259-4bb7-4e93-b300-f21735334094,Corsale A.
1130dbbc-eaaa-4627-99ba-99b1ef20f423,Agius D.A.
a90fc913-9116-4b69-b05a-06d3b80c20e2,Den Hertog L.
1e6c3d1e-3fdd-457f-87cb-2a73ed722812,Said R.
b28e8677-ecd8-4619-b15b-07d6e24c7239,Bowen P.D.
faf60894-1440-47ce-9152-99aac460e95a,Lange M.
4165aa46-da33-49aa-b99b-4497f947f11c,Jacobsen K.M.
a851aa70-071b-43bf-aa5e-0b4ac50b2f6b,Talbayev E.T.
